original_image,mask_file,crop_file,x,y,width,height,yolo_confidence,coverage,classifier_confidence,predicted_condition,quality_score
1001847281504351.jpg,1001847281504351_0.png,crops/1001847281504351_0.png,1073,1362,96,94,0.892996,0.002499262491861979,0.9991171956062317,good,1.0
1001847281504351.jpg,1001847281504351_1.png,crops/1001847281504351_1.png,1058,1205,100,82,0.85905,0.0021305084228515625,0.9985262155532837,good,1.0
1001847281504351.jpg,1001847281504351_2.png,crops/1001847281504351_2.png,1025,945,87,63,0.832241,0.0015668869018554688,0.9993209838867188,good,1.0
1001847281504351.jpg,1001847281504351_3.png,crops/1001847281504351_3.png,1039,1069,95,68,0.793916,0.0017455418904622395,0.9993979930877686,good,1.0
1001847281504351.jpg,1001847281504351_4.png,crops/1001847281504351_4.png,976,621,80,64,0.721341,0.0014006296793619792,0.9981487989425659,good,1.0
1001847281504351.jpg,1001847281504351_5.png,crops/1001847281504351_5.png,990,723,86,65,0.709858,0.0015312830607096355,0.9996434450149536,good,1.0
1001847281504351.jpg,1001847281504351_6.png,crops/1001847281504351_6.png,1001,831,87,57,0.586259,0.0013764699300130208,0.9996899366378784,good,1.0
1001847281504351.jpg,1001847281504351_7.png,crops/1001847281504351_7.png,972,519,84,65,0.523949,0.0014483133951822917,0.9982435703277588,good,1.0
1001847281504351.jpg,1001847281504351_8.png,crops/1001847281504351_8.png,971,316,83,72,0.298426,0.0015131632486979167,0.9971975088119507,good,1.0
1014175896728504.jpg,1014175896728504_0.png,crops/1014175896728504_0.png,1142,1062,150,115,0.986202,0.004739443461100261,0.9989417195320129,good,1.0
1014175896728504.jpg,1014175896728504_1.png,crops/1014175896728504_1.png,1160,875,129,100,0.962334,0.0036802291870117188,0.9985644221305847,good,1.0
1014175896728504.jpg,1014175896728504_2.png,crops/1014175896728504_2.png,1176,741,123,76,0.834469,0.0026003519694010415,0.9996613264083862,good,1.0
1014175896728504.jpg,1014175896728504_3.png,crops/1014175896728504_3.png,1130,1290,159,148,0.721759,0.0068747202555338545,0.9964565634727478,good,1.0
